Entry	Gene Names	Gene Ontology (molecular function)
Q6C9Z9	YALI0_D07040g	[pyruvate dehydrogenase (lipoamide)] phosphatase activity [GO:0004741]; protein serine/threonine phosphatase activity [GO:0004722]
Q6CA00	YALI0_D07018g	metal ion binding [GO:0046872]
Q6CA01	YALI0_D06996g	
Q6CA03	YALI0_D06952g	"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"
Q6CA07	YALI0_D06864g	calcium activated cation channel activity [GO:0005227]
Q6CA09	YALI0_D06820g	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]
Q6CA10	YALI0_D06798g	L-ornithine transmembrane transporter activity [GO:0000064]
Q6CA13	YALI0_D06732g	
Q6CA14	YALI0_D06710g	
Q6CA15	YALI0_D06688g	ferrous iron transmembrane transporter activity [GO:0015093]
Q6CA17	YALI0_D06655g	
Q6CA18	YALI0_D06633g	
Q6CA19	YALI0_D06611g	
Q6CA21	YALI0_D06567g	
Q6CA23	YALI0_D06523g	
Q6CA25	YALI0_D06479g	
Q6CA27	YALI0_D06435g	ubiquitin binding [GO:0043130]
Q6CA29	YALI0_D06391g	"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
Q6CA30	YALI0_D06369g	
Q6CA31	YALI0_D06347g	
Q6CA37	YALI0_D06215g	3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860]
Q6CA39	YALI0_D06171g	
Q6CA40	YALI0_D06149g	
Q6CA41	YALI0_D06083g	
Q6CA42	YALI0_D06061g	
Q6CA46	YALI0_A07238g YALI0_D05973g	catalytic activity [GO:0003824]
Q6CA49	YALI0_D05929g	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6CA50	YALI0_D05863g	phosphoric diester hydrolase activity [GO:0008081]
Q6CA51	YALI0_D05841g	potassium ion leak channel activity [GO:0022841]
Q6CA52	YALI0_D05819g	allantoate transmembrane transporter activity [GO:0015124]; dipeptide transmembrane transporter activity [GO:0071916]
Q6CA56	YALI0_D05731g	structural constituent of ribosome [GO:0003735]
Q6CA59	YALI0_D05665g	
Q6CA61	YALI0_D05621g	nucleobase transmembrane transporter activity [GO:0015205]
Q6CA62	YALI0_D05599g	
Q6CA63	YALI0_D05577g	
Q6CA64	YALI0_D05547g	mRNA binding [GO:0003729]
Q6CA65	YALI0_D05533g	methyltransferase activity [GO:0008168]
Q6CA69	YALI0_D05401g	siderophore-iron transmembrane transporter activity [GO:0015343]
Q6CA70	YALI0_D05379g	calcium ion binding [GO:0005509]
Q6CA71	YALI0_D05357g	
Q6CA73	YALI0_D05313g	K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]
Q6CA75	YALI0_D05269g	
Q6CA76	YALI0_D05247g	
Q6CA77	YALI0_D05203g	
Q6CA80	YALI0_D05137g	
Q6CA83	YALI0_D05049g	
Q6CA84	YALI0_D05041g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]"
Q6CA85	YALI0_D05005g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"
Q6CA88	YALI0_D04939g	
Q6CA89	YALI0_D04917g	mRNA binding [GO:0003729]
Q6CA90	YALI0_D04895g	
Q6CA94	YALI0_D04807g	transcription cis-regulatory region binding [GO:0000976]
Q6CA95	YALI0_D04785g	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Q6CA96	YALI0_D04763g	
Q6CA99	YALI0_D04697g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]
Q6CAA2	YALI0_D04576g	
Q6CAA3	YALI0_D04554g	
Q6CAA4	YALI0_D04510g	
Q6CAA9	YALI0_D04400g	
Q6CAB1	YALI0_D04356g	
Q6CAB3	YALI0_D04312g	2-hydroxyglutarate dehydrogenase activity [GO:0047545]
Q6CAB4	YALI0_D04290g	
Q6CAB9	YALI0_D04180g	
Q6CAC1	YALI0_D04136g	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Q6CAC3	YALI0_D04092g	alditol:NADP+ 1-oxidoreductase activity [GO:0004032]
Q6CAC4	YALI0_D04070g	
Q6CAC8	YALI0_D03982g	
Q6CAD0	YALI0_D03938g	
Q6CAD3	YALI0_D03784g	
Q6CAD4	YALI0_D03762g	polyubiquitin modification-dependent protein binding [GO:0031593]
Q6CAD5	YALI0_D03740g	
Q6CAD7	YALI0_D03696g	
Q6CAD9	YALI0_D03663g	ATP-dependent H2AZ histone chaperone activity [GO:0140849]
Q6CAE0	YALI0_D03641g	
Q6CAE2	YALI0_D03597g	acyl-CoA hydrolase activity [GO:0047617]
Q6CAF1	YALI0_D03355g	
Q6CAF3	YALI0_D03311g	
Q6CAF4	YALI0_D03267g	ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity [GO:0052929]; RNA binding [GO:0003723]
Q6CAF5	YALI0_D03245g	
Q6CAF9	YALI0_D03113g	
Q6CAG0	YALI0_D03091g	protein phosphatase regulator activity [GO:0019888]
Q6CAG2	YALI0_D02995g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6CAG3	YALI0_D02981g	serine-type endopeptidase activity [GO:0004252]
Q6CAG5	YALI0_D02937g	Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
Q6CAG6	YALI0_D02915g	
Q6CAG7	YALI0_D02893g	
Q6CAH2	YALI0_D02783g	"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6CAH3	YALI0_D02761g	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
Q6CAH4	YALI0_D02739g	
Q6CAH6	YALI0_D02695g	
Q6CAH7	YALI0_D02673g	
Q6CAH8	YALI0_D02651g	
Q6CAI1	YALI0_D02585g	
Q6CAI3	YALI0_D02519g	
Q6CAI5	YALI0_D02475g	"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"
Q6CAI6	YALI0_D02453g	
Q6CAI7	YALI0_A10527g YALI0_D02431g	catalytic activity [GO:0003824]
Q6CAI8	YALI0_D02387g	
Q6CAJ0	YALI0_D02343g	
Q6CAJ2	YALI0_D02299g	
Q6CAJ3	YALI0_D02277g	transketolase activity [GO:0004802]
Q6CAJ4	YALI0_D02255g	"hydrolase activity, acting on ester bonds [GO:0016788]"
Q6CAJ5	YALI0_D02233g	phosphatidate phosphatase activity [GO:0008195]
Q6CAJ6	YALI0_D02189g	
Q6CAJ7	YALI0_D02167g	oxidoreductase activity [GO:0016491]
Q6CAJ9	YALI0_D02123g	
Q6CAK2	YALI0_D02068g	
Q6CAK3	YALI0_D02046g	basic amino acid transmembrane transporter activity [GO:0015174]
Q6CAK5	YALI0_D02002g	Hsp70 protein binding [GO:0030544]
Q6CAK6	YALI0_D01980g	"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor [GO:0050664]"
Q6CAK7	YALI0_D01958g	
Q6CAK8	YALI0_D01936g	
Q6CAK9	YALI0_D01914g	
Q6CAL0	YALI0_D01892g	DNA binding [GO:0003677]; RNA polymerase II C-terminal domain phosphoserine binding [GO:1990269]
Q6CAL1	YALI0_D01804g	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6CAL2	YALI0_D01782g	
Q6CAL3	YALI0_D01760g	
Q6CAL4	YALI0_D01738g	"oxidoreductase activity, acting on NAD(P)H [GO:0016651]"
Q6CAL5	YALI0_D01716g	
Q6CAM1	YALI0_D01551g	
Q6CAM2	YALI0_D01529g	
Q6CAM3	YALI0_D01507g	
Q6CAM5	YALI0_D01463g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6CAM6	YALI0_D01441g	
Q6CAM7	YALI0_D01419g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"
Q6CAM9	YALI0_D01375g	
Q6CAN3	YALI0_D01287g	
Q6CAN5	YALI0_D01243g	FMN binding [GO:0010181]; NADPH dehydrogenase activity [GO:0003959]
Q6CAN6	YALI0_D01221g	guanyl-nucleotide exchange factor activity [GO:0005085]
Q6CAP0	YALI0_D01133g	nuclear localization sequence binding [GO:0008139]; small GTPase binding [GO:0031267]
Q6CAP1	YALI0_D01111g	carbohydrate:proton symporter activity [GO:0005351]
Q6CAP4	YALI0_D01045g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6CAP5	YALI0_D01023g	
Q6CAP6	YALI0_D01001g	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
Q6CAP7	YALI0_D00979g	
Q6CAP8	YALI0_D00957g	
Q6CAQ0	YALI0_D00913g	
Q6CAQ2	YALI0_D00869g	amidase activity [GO:0004040]; indoleacetamide hydrolase activity [GO:0043864]
Q6CAQ3	YALI0_D00847g	
Q6CAQ4	YALI0_D00825g	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]
Q6CAQ5	YALI0_D00803g	
Q6CAQ6	YALI0_D00781g	
Q6CAR0	YALI0_D00693g	GTPase activator activity [GO:0005096]
Q6CAR1	YALI0_D00671g	delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]
Q6CAR2	YALI0_D00649g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q6CAR5	YALI0_D00583g	"proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6CAR7	YALI0_D00539g	mRNA binding [GO:0003729]
Q6CAR8	YALI0_D00495g	transmembrane transporter activity [GO:0022857]
Q6CAR9	YALI0_D00473g	
Q6CAS0	YALI0_D00451g	
Q6CAS2	YALI0_D00407g	transmembrane transporter activity [GO:0022857]
Q6CAS3	YALI0_D00385g	ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme binding [GO:0031624]
Q6CAS4	YALI0_D00363g	carbohydrate:proton symporter activity [GO:0005351]
Q6CAS5	YALI0_D00341g	
Q6CAS6	YALI0_D00319g	magnesium ion transmembrane transporter activity [GO:0015095]
Q6CAS7	YALI0_D00297g	
Q6CAS9	YALI0_D00253g	RNA nuclease activity [GO:0004540]
Q6CAT0	YALI0_D00231g	DNA end binding [GO:0045027]
Q6CAT1	YALI0_D00220g	ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]
Q6CAT2	YALI0_D00198g	
Q6CAT3	YALI0_D00176g	"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
Q6CAT4	YALI0_D00154g	
Q6CAT6	YALI0_D00110g	
Q6CAT7	YALI0_C24420g	translation elongation factor activity [GO:0003746]
Q6CAT8	YALI0_C24398g	"DNA binding, bending [GO:0008301]"
Q6CAT9	YALI0_C24376g	
Q6CAU1	YALI0_C24332g	GTPase activator activity [GO:0005096]
Q6CAU2	YALI0_C24321g	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]
Q6CAU3	YALI0_C24299g	
Q6CAU4	YALI0_C24277g	structural constituent of ribosome [GO:0003735]
Q6CAU6	YALI0_C24233g	homoserine O-acetyltransferase activity [GO:0004414]; serine O-acetyltransferase activity [GO:0009001]
Q6CAU7	YALI0_C24211g	
Q6CAU8	YALI0_C24189g	
Q6CAV1	YALI0_C24123g	
Q6CAV3	YALI0_C24079g	helicase activity [GO:0004386]; mRNA binding [GO:0003729]
Q6CAV5	YALI0_C24035g	
Q6CAV6	YALI0_C24013g	GTP binding [GO:0005525]
Q6CAW0	YALI0_C23925g	
Q6CAW2	YALI0_C23881g	
Q6CAW4	YALI0_C23837g	hydrolase activity [GO:0016787]
Q6CAW7	YALI0_C23771g	
Q6CAW9	YALI0_C23727g	ubiquitin binding [GO:0043130]
Q6CAX0	YALI0_C23705g	"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
Q6CAX6	YALI0_C23540g	
Q6CAX7	YALI0_C23518g	
Q6CAX8	YALI0_C23496g	
Q6CAX9	YALI0_C23474g	guanyl-nucleotide exchange factor activity [GO:0005085]
Q6CAY0	YALI0_C23452g	
Q6CAY1	YALI0_C23430g	
Q6CAY5	YALI0_C23342g	nicotinamide riboside transmembrane transporter activity [GO:0034257]; nucleobase transmembrane transporter activity [GO:0015205]
Q6CAY7	YALI0_C23298g	acetate transmembrane transporter activity [GO:0015123]
Q6CAY8	YALI0_C23276g	
Q6CAY9	YALI0_C23254g	
Q6CAZ1	YALI0_C23224g	catalytic activity [GO:0003824]
Q6CAZ2	YALI0_C23210g	dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]
Q6CAZ6	YALI0_C23122g	acetylpyruvate hydrolase activity [GO:0018773]
Q6CAZ7	YALI0_C23100g	
Q6CAZ9	YALI0_C23056g	
Q6CB01	YALI0_C22990g	"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6CB02	YALI0_C22968g	GTPase activator activity [GO:0005096]
Q6CB03	YALI0_C22946g	
Q6CB04	YALI0_C22924g	
Q6CB06	YALI0_C22880g	
Q6CB07	YALI0_C22858g	
Q6CB08	YALI0_C22836g	structural constituent of cell wall [GO:0005199]
Q6CB11	YALI0_C22748g	
Q6CB12	YALI0_C22726g	
Q6CB15	YALI0_C22660g	transmembrane transporter activity [GO:0022857]
Q6CB16	YALI0_C22638g	
Q6CB18	YALI0_C22594g	transmembrane transporter activity [GO:0022857]
Q6CB19	YALI0_C22572g	
Q6CB22	YALI0_C22506g	
Q6CB24	YALI0_C22462g	Arp2/3 complex binding [GO:0071933]
Q6CB29	YALI0_C22363g	transmembrane transporter activity [GO:0022857]
Q6CB32	YALI0_C22297g	
Q6CB35	YALI0_C22231g	DNA binding [GO:0003677]
Q6CB36	YALI0_C22209g	
Q6CB38	YALI0_C22165g	3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity [GO:0000252]; sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity [GO:0047012]
Q6CB39	YALI0_C22143g	
Q6CB40	YALI0_C22121g	acyl-CoA hydrolase activity [GO:0047617]
Q6CB42	YALI0_C22088g	carbon-sulfur lyase activity [GO:0016846]; pyridoxal phosphate binding [GO:0030170]
Q6CB44	YALI0_C22044g	
Q6CB45	YALI0_C22022g	
Q6CB46	YALI0_C22000g	glyoxalase III activity [GO:0019172]
Q6CB47	YALI0_C21978g	
Q6CB48	YALI0_C21956g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6CB49	YALI0_C21934g	pyridoxal phosphate binding [GO:0030170]
Q6CB50	YALI0_C21912g	
Q6CB58	YALI0_C21736g	
Q6CB60	YALI0_C21670g	
Q6CB63	YALI0_C21604g	serine-type carboxypeptidase activity [GO:0004185]
Q6CB65	YALI0_C21560g	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6CB66	YALI0_C21538g	chloride channel activity [GO:0005254]
Q6CB67	YALI0_C21516g	
Q6CB68	YALI0_C21494g	
Q6CB70	YALI0_C21450g	
Q6CB71	YALI0_C21428g	
Q6CB72	YALI0_C21406g	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]
Q6CB73	YALI0_C21384g	
Q6CB76	YALI0_C21318g	
Q6CB77	YALI0_C21296g	
Q6CB78	YALI0_C21274g	
Q6CB79	YALI0_C21252g	
Q6CB81	YALI0_C21219g	
Q6CB83	YALI0_C21186g	oxidoreductase activity [GO:0016491]
Q6CB86	YALI0_C21131g	
Q6CB87	YALI0_C21109g	structural constituent of ribosome [GO:0003735]
Q6CB89	YALI0_C21065g	glycosyltransferase activity [GO:0016757]
Q6CB91	YALI0_C21021g	
Q6CB93	YALI0_C20977g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]"
Q6CB94	YALI0_C20955g	
Q6CB96	YALI0_C20911g	
Q6CB97	YALI0_C20889g	metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]
Q6CB98	YALI0_C20823g	oligopeptide transmembrane transporter activity [GO:0035673]
Q6CB99	YALI0_C20801g	
Q6CBA0	YALI0_C20779g	
Q6CBA3	YALI0_C20713g	
Q6CBA5	YALI0_C20669g	glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]
Q6CBA6	YALI0_C20647g	
Q6CBA7	YALI0_C20625g	hydrolase activity [GO:0016787]
Q6CBA8	YALI0_C20471g	
Q6CBB2	YALI0_C20383g	
Q6CBB3	YALI0_C20361g	transmembrane transporter activity [GO:0022857]
Q6CBB4	YALI0_C20339g	
Q6CBB6	YALI0_C20295g	copper ion transmembrane transporter activity [GO:0005375]
Q6CBB8	YALI0_C20265g	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
Q6CBB9	YALI0_C20251g	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6CBC0	YALI0_C20229g	
Q6CBC1	YALI0_C20207g	cysteine-type deubiquitinase activity [GO:0004843]; cysteine-type endopeptidase activity [GO:0004197]
Q6CBC2	YALI0_C20141g	phosphatidic acid transfer activity [GO:1990050]
Q6CBC4	YALI0_C20097g	
Q6CBC6	YALI0_C20053g	voltage-gated chloride channel activity [GO:0005247]
Q6CBC7	YALI0_C19987g	cysteine-type deubiquitinase activity [GO:0004843]
Q6CBC8	YALI0_C19965g	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6CBC9	YALI0_C19943g	
Q6CBD2	YALI0_C19866g	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]
Q6CBD3	YALI0_C19844g	
Q6CBD4	YALI0_C19822g	
Q6CBD5	YALI0_C19800g	
Q6CBD6	YALI0_C19778g	phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]
Q6CBD7	YALI0_C19756g	
Q6CBD8	YALI0_C19734g	
Q6CBE0	YALI0_C19690g	
Q6CBE1	YALI0_C19682g	cis-regulatory region sequence-specific DNA binding [GO:0000987]
Q6CBE2	YALI0_C19668g	FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]
Q6CBE3	YALI0_C19646g	FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]
Q6CBE5	YALI0_C19602g	
Q6CBE6	YALI0_C19580g	hydrolase activity [GO:0016787]
Q6CBE7	YALI0_C19558g	mRNA binding [GO:0003729]
Q6CBE8	YALI0_C19448g	
Q6CBE9	YALI0_C19426g	
Q6CBF0	YALI0_C19404g	RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; transcription coregulator activity [GO:0003712]
Q6CBF2	YALI0_C19360g	
Q6CBF3	YALI0_C19338g	
Q6CBF6	YALI0_C19283g	
Q6CBF7	YALI0_C19261g	
Q6CBF8	YALI0_C19239g	
Q6CBF9	YALI0_C19217g	
Q6CBG0	YALI0_C19195g	S-adenosyl-L-methionine transmembrane transporter activity [GO:0000095]
Q6CBG1	YALI0_C19151g	"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6CBG2	YALI0_C19129g	ATP binding [GO:0005524]
Q6CBG3	YALI0_C19107g	
Q6CBG5	YALI0_C19063g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; zinc ion binding [GO:0008270]"
Q6CBG7	YALI0_C19019g	
Q6CBH2	YALI0_C18777g	
Q6CBH4	YALI0_C18733g	ATPase activator activity [GO:0001671]
Q6CBH5	YALI0_C18711g	
Q6CBH7	YALI0_C18667g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]"
Q6CBH8	YALI0_C18645g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6CBI3	YALI0_C18491g	oligopeptide transmembrane transporter activity [GO:0035673]
Q6CBJ2	YALI0_C18293g	
Q6CBJ3	YALI0_C18263g	
Q6CBJ4	YALI0_C18249g	
Q6CBJ7	YALI0_C18183g	
Q6CBJ8	YALI0_C18161g	guanyl-nucleotide exchange factor activity [GO:0005085]; translation initiation factor activity [GO:0003743]
Q6CBJ9	YALI0_C18139g	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
Q6CBK0	YALI0_C18117g	
Q6CBK4	YALI0_C18029g	carotenoid dioxygenase activity [GO:0010436]; metal ion binding [GO:0046872]
Q6CBK5	YALI0_C17963g	
Q6CBK7	YALI0_C17919g	
Q6CBK8	YALI0_C17897g	
Q6CBK9	YALI0_C17875g	
Q6CBL0	YALI0_C17853g	
Q6CBL2	YALI0_C17655g	
Q6CBL3	YALI0_C17633g	
Q6CBL4	YALI0_C17589g	
Q6CBL5	YALI0_C17567g	
Q6CBL6	YALI0_C17545g	
Q6CBL7	YALI0_C17501g	
Q6CBM1	YALI0_C17369g	
Q6CBM4	YALI0_C17303g	transmembrane transporter activity [GO:0022857]
Q6CBM5	YALI0_C17281g	transmembrane transporter activity [GO:0022857]
Q6CBM6	YALI0_C17237g	amino acid transmembrane transporter activity [GO:0015171]
Q6CBM7	YALI0_C17215g	
Q6CBM8	YALI0_C17193g	
Q6CBM9	YALI0_C17105g	transmembrane transporter activity [GO:0022857]
Q6CBN0	YALI0_C17083g	RNA binding [GO:0003723]
Q6CBN1	YALI0_C17061g	NAD+ ADP-ribosyltransferase activity [GO:0003950]
Q6CBN2	YALI0_C17039g	
Q6CBN3	YALI0_C17017g	mRNA binding [GO:0003729]
Q6CBN6	YALI0_C16951g	transmembrane transporter activity [GO:0022857]
Q6CBN7	YALI0_C16929g	transmembrane transporter activity [GO:0022857]
Q6CBP0	YALI0_C16863g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6CBP1	YALI0_C16841g	
Q6CBP3	YALI0_C16797g	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]
Q6CBP5	YALI0_C16753g	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]
Q6CBP6	YALI0_C16731g	
Q6CBP7	YALI0_C16709g	
Q6CBP8	YALI0_C16687g	unfolded protein binding [GO:0051082]
Q6CBQ2	YALI0_C16599g	
Q6CBQ4	YALI0_C16544g	
Q6CBQ5	YALI0_C16522g	carbohydrate:proton symporter activity [GO:0005351]
Q6CBQ6	YALI0_C16500g	
Q6CBQ7	YALI0_C16478g	structural constituent of ribosome [GO:0003735]
Q6CBR1	YALI0_C16390g	DNA binding [GO:0003677]; histone demethylase activity [GO:0032452]; metal ion binding [GO:0046872]
Q6CBR2	YALI0_C16368g	RNA binding [GO:0003723]
Q6CBR3	YALI0_C16346g	guanyl-nucleotide exchange factor activity [GO:0005085]
Q6CBR4	YALI0_C16269g	
Q6CBR5	YALI0_C16247g	
Q6CBR6	YALI0_C16225g	siderophore-iron transmembrane transporter activity [GO:0015343]
Q6CBR7	YALI0_C16203g	unfolded protein binding [GO:0051082]
Q6CBR8	YALI0_C16181g	
Q6CBS0	YALI0_C16148g	
Q6CBS1	YALI0_C16126g	
Q6CBS2	YALI0_C16049g	
Q6CBS4	YALI0_C16005g	
Q6CBS5	YALI0_C15939g	
Q6CBS6	YALI0_C15917g	
Q6CBT0	YALI0_C15829g	protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]
Q6CBT2	YALI0_C15785g	
Q6CBT3	YALI0_C15741g	
Q6CBT4	YALI0_C15719g	
Q6CBT6	YALI0_C15609g	
Q6CBT8	YALI0_C15576g	
Q6CBU0	YALI0_C15532g	serine-type endopeptidase activity [GO:0004252]
Q6CBU1	YALI0_C15488g	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]
Q6CBU2	YALI0_C15466g	
Q6CBU3	YALI0_C15444g	ATP binding [GO:0005524]; ribosomal protein S6 kinase activity [GO:0004711]
Q6CBU4	YALI0_C15422g	
Q6CBU5	YALI0_C15400g	mRNA binding [GO:0003729]
Q6CBU6	YALI0_C15378g	
Q6CBU8	YALI0_C15334g	
Q6CBU9	YALI0_C15304g	
Q6CBV0	YALI0_C15290g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]
Q6CBV1	YALI0_C15268g	
Q6CBV2	YALI0_C15246g	
Q6CBV4	YALI0_C15202g	"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
Q6CBV7	YALI0_C15136g	
Q6CBV8	YALI0_C15114g	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]
Q6CBV9	YALI0_C15092g	
Q6CBW1	YALI0_C15048g	3'-5'-RNA exonuclease activity [GO:0000175]; RNA binding [GO:0003723]
Q6CBW2	YALI0_C15026g	methyltransferase activity [GO:0008168]
Q6CBW3	YALI0_C15004g	
Q6CBW6	YALI0_C14872g	
Q6CBW9	YALI0_C14784g	transcription corepressor activity [GO:0003714]
Q6CBX0	YALI0_C14762g	
Q6CBX1	YALI0_C14740g	
Q6CBX3	YALI0_C14696g	
Q6CBX4	YALI0_C14674g	
Q6CBX5	YALI0_C14652g	
Q6CBX6	YALI0_C14630g	
Q6CBX7	YALI0_C14608g	
Q6CBX8	YALI0_C14586g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6CBX9	YALI0_C14564g	
Q6CBY0	YALI0_C14542g	
Q6CBY1	YALI0_C14520g	lipase activity [GO:0016298]
Q6CBY2	YALI0_C14498g	guanine nucleotide transmembrane transporter activity [GO:0001409]
Q6CBY6	YALI0_C14410g	ribosome binding [GO:0043022]
Q6CBY7	YALI0_C14388g	methyltransferase activity [GO:0008168]
Q6CBY9	YALI0_C14322g	isomerase activity [GO:0016853]
Q6CBZ1	YALI0_C14234g	
Q6CBZ3	YALI0_C14168g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6CBZ4	YALI0_C14146g	
Q6CBZ5	YALI0_C14124g	
Q6CBZ6	YALI0_C14058g	transcription coactivator activity [GO:0003713]
Q6CBZ8	YALI0_C14014g	lysophosphatidic acid acyltransferase activity [GO:0042171]
Q6CBZ9	YALI0_C13992g	
Q6CC00	YALI0_C13970g	
Q6CC03	YALI0_C13882g	nucleic acid binding [GO:0003676]; tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]
Q6CC04	YALI0_C13860g	RNA binding [GO:0003723]
Q6CC05	YALI0_C13838g	
Q6CC07	YALI0_C13794g	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]"
Q6CC08	YALI0_C13750g	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q6CC09	YALI0_C13728g	
